                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9754,                 2.8288,                 1.8855,                0.61636,                0.41509,                0.47141,                0.17095,                 2.2269,                 1.8177,                 1.3241,               0.070106,              0.0033216,              0.0033216
                      1,                 2.1542,                 1.5585,                 1.3802,                0.64892,                0.58491,                0.57669,                0.26445,                 1.8749,                 1.2958,                 1.1625,               0.040084,              0.0066329,              0.0066329
                      2,                 2.0298,                 1.3742,                 1.3043,                 0.6618,                0.49057,                0.61126,                0.21561,                 2.0191,                 1.2376,                 1.1742,                0.01004,              0.0099223,              0.0099223
                      3,                 1.9675,                  1.285,                 1.2832,                0.79081,                0.71698,                0.73054,                0.28857,                 1.9656,                 1.0996,                 1.1147,               0.009901,               0.009901,               0.009901
                      4,                 1.9135,                 1.2002,                 1.2563,                0.85374,                0.66082,                0.75222,                 0.3115,                 1.8696,                 1.1327,                 1.1189,               0.009901,               0.009901,               0.009901
                      5,                 1.8307,                 1.1249,                  1.228,                0.72696,                0.75472,                0.78649,                0.32342,                 1.8744,                0.99107,                 1.0944,               0.009868,               0.009868,               0.009868
                      6,                 1.8342,                   1.12,                 1.2262,                0.75559,                0.69999,                0.78357,                0.33569,                 1.8895,                 1.0489,                 1.1024,               0.009835,               0.009835,               0.009835
                      7,                 1.7897,                 1.0715,                 1.2053,                0.74575,                0.77481,                0.79336,                0.32199,                 1.9076,                 1.0619,                 1.1112,               0.009802,               0.009802,               0.009802
                      8,                 1.7951,                  1.062,                 1.2137,                0.63647,                0.71698,                0.68963,                0.28015,                 1.9403,                 0.9648,                 1.1412,               0.009769,               0.009769,               0.009769
                      9,                  1.758,                 1.0029,                 1.1863,                0.68766,                0.73585,                0.70238,                0.25978,                 1.9486,                 1.0525,                 1.1256,               0.009736,               0.009736,               0.009736
                     10,                  1.735,                0.99329,                 1.1815,                0.69147,                0.73585,                0.73842,                0.29851,                 1.9092,                 1.0171,                 1.1319,               0.009703,               0.009703,               0.009703
                     11,                 1.7374,                0.99268,                 1.1888,                0.68126,                0.76628,                0.78584,                0.33104,                 1.8754,                0.95766,                 1.0948,                0.00967,                0.00967,                0.00967
                     12,                 1.7237,                0.96577,                 1.1812,                0.66315,                0.77358,                0.79526,                0.34513,                 1.7914,                0.94021,                 1.0753,               0.009637,               0.009637,               0.009637
                     13,                 1.7032,                0.94353,                 1.1647,                0.82132,                0.71698,                0.79532,                0.31756,                 1.9094,                 1.0334,                 1.1055,               0.009604,               0.009604,               0.009604
                     14,                 1.7006,                0.93699,                 1.1694,                0.67415,                0.81981,                0.74745,                0.30938,                 1.8593,                0.92683,                 1.0922,               0.009571,               0.009571,               0.009571
                     15,                 1.7004,                0.92276,                 1.1718,                0.62516,                0.69237,                0.70107,                0.26286,                 1.8961,                 1.4057,                  1.104,               0.009538,               0.009538,               0.009538
                     16,                 1.6824,                0.91021,                 1.1591,                 0.7314,                0.83019,                0.82873,                0.38406,                 1.8134,                0.89921,                 1.0691,               0.009505,               0.009505,               0.009505
                     17,                 1.6727,                0.89394,                 1.1497,                0.72744,                0.84906,                0.83445,                0.33335,                 1.7972,                0.87072,                 1.0693,               0.009472,               0.009472,               0.009472
                     18,                  1.663,                0.90083,                 1.1428,                0.77141,                0.75472,                0.80225,                0.38973,                 1.7427,                0.92612,                 1.0593,               0.009439,               0.009439,               0.009439
                     19,                 1.6604,                0.88303,                 1.1527,                0.77142,                0.83019,                0.80637,                0.36966,                 1.8226,                0.85202,                 1.0862,               0.009406,               0.009406,               0.009406
                     20,                 1.6597,                0.87462,                 1.1506,                0.84136,                0.70053,                0.85077,                0.33545,                 1.8113,                0.90305,                 1.0837,               0.009373,               0.009373,               0.009373
                     21,                 1.6667,                0.87344,                 1.1502,                0.69143,                0.76109,                0.81793,                0.39976,                 1.7076,                0.94649,                  1.056,                0.00934,                0.00934,                0.00934
                     22,                 1.6498,                0.87039,                 1.1403,                0.48416,                0.86775,                0.63561,                 0.2776,                 1.8146,                 1.1824,                 1.0768,               0.009307,               0.009307,               0.009307
                     23,                 1.6334,                0.87163,                 1.1412,                0.71662,                0.85893,                0.83227,                 0.3831,                 1.7825,                0.87872,                 1.0707,               0.009274,               0.009274,               0.009274
