                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2729,                 1.6062,                 1.5263,                0.61755,                0.41509,                0.41348,                0.15204,                 2.3102,                 1.8214,                 1.3939,               0.070283,              0.0033019,              0.0033019
                      1,                 2.1172,                 1.4372,                 1.4292,                0.73517,                 0.5283,                 0.5934,                0.21979,                 2.0808,                 1.3813,                 1.2585,               0.040261,              0.0066133,              0.0066133
                      2,                 2.0414,                 1.4404,                 1.3713,                0.71598,                0.57086,                0.62772,                0.26853,                 2.0456,                 1.5494,                 1.2501,               0.010217,              0.0099028,              0.0099028
                      3,                 1.9784,                 1.3561,                 1.3093,                0.84137,                0.60052,                0.70348,                0.24869,                 1.9474,                 1.3121,                 1.1776,               0.009901,               0.009901,               0.009901
                      4,                  1.911,                 1.2524,                 1.2661,                0.73327,                0.51882,                0.62716,                0.20631,                 2.1348,                  1.231,                 1.2258,               0.009901,               0.009901,               0.009901
                      5,                 1.8371,                 1.2026,                 1.2349,                0.65711,                0.60377,                0.64175,                0.23046,                 2.0872,                 1.6278,                 1.1914,               0.009868,               0.009868,               0.009868
                      6,                 1.8198,                 1.1324,                 1.2209,                0.72107,                0.58491,                0.63287,                0.26318,                 1.9517,                 1.0428,                 1.1465,               0.009835,               0.009835,               0.009835
                      7,                 1.7929,                 1.0758,                 1.1945,                0.79713,                0.71698,                0.78889,                0.33743,                 1.8679,                 1.0279,                 1.1161,               0.009802,               0.009802,               0.009802
                      8,                  1.729,                 1.0449,                 1.1905,                 0.7351,                0.68069,                0.74701,                0.32853,                 1.9136,                 1.0729,                 1.1257,               0.009769,               0.009769,               0.009769
                      9,                 1.7151,                 0.9882,                 1.1641,                0.86125,                0.58491,                0.72154,                0.32479,                 1.8772,                  1.034,                 1.0968,               0.009736,               0.009736,               0.009736
                     10,                 1.7168,                0.99039,                 1.1703,                0.60581,                0.79245,                0.70369,                0.28689,                 1.9759,                0.99311,                 1.1519,               0.009703,               0.009703,               0.009703
                     11,                 1.7082,                0.96662,                 1.1637,                 0.7384,                0.66038,                0.72661,                0.29581,                 1.9457,                0.99561,                 1.1438,                0.00967,                0.00967,                0.00967
