                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4644,                0.66917,                 1.0706,                0.78059,                0.80559,                0.79841,                0.36344,                    1.8,                0.81616,                 1.0711,               0.070283,              0.0033019,              0.0033019
                      1,                 1.4383,                0.67146,                 1.0521,                0.73354,                0.88679,                0.80107,                0.35078,                 1.8312,                0.79702,                 1.0855,               0.040261,              0.0066133,              0.0066133
                      2,                 1.4699,                0.68613,                 1.0692,                0.76618,                0.80381,                0.80679,                0.37624,                  1.752,                0.78456,                 1.0539,               0.010217,              0.0099028,              0.0099028
                      3,                 1.4893,                0.70161,                 1.0693,                0.84908,                0.75472,                0.82932,                0.38622,                 1.7711,                0.82363,                 1.0552,               0.009901,               0.009901,               0.009901
                      4,                  1.492,                0.70845,                 1.0691,                0.81125,                0.71698,                0.82982,                0.37662,                  1.809,                0.79842,                 1.0793,               0.009901,               0.009901,               0.009901
                      5,                 1.5007,                0.71138,                 1.0815,                 0.8215,                0.75472,                0.82941,                0.38025,                 1.8245,                0.79339,                 1.0773,               0.009868,               0.009868,               0.009868
                      6,                 1.4853,                0.70491,                  1.072,                 0.8465,                0.73585,                0.84213,                0.36897,                 1.8427,                0.84992,                 1.1075,               0.009835,               0.009835,               0.009835
                      7,                 1.4886,                0.70823,                 1.0629,                0.83641,                0.79245,                0.85208,                0.39989,                 1.8312,                0.78149,                 1.0658,               0.009802,               0.009802,               0.009802
                      8,                 1.4681,                0.70828,                 1.0703,                0.80357,                0.77189,                0.85461,                0.39883,                 1.7838,                0.79969,                 1.0592,               0.009769,               0.009769,               0.009769
                      9,                 1.4706,                0.70294,                 1.0622,                0.69882,                0.75472,                0.66963,                0.29508,                 1.9612,                0.84902,                 1.1242,               0.009736,               0.009736,               0.009736
                     10,                 1.4774,                0.70953,                 1.0727,                0.80451,                0.88679,                0.85324,                0.37838,                  1.772,                0.77174,                 1.0675,               0.009703,               0.009703,               0.009703
                     11,                 1.4796,                0.70428,                 1.0665,                0.74088,                0.83019,                0.83268,                0.36655,                 1.8281,                0.81996,                 1.0762,                0.00967,                0.00967,                0.00967
                     12,                 1.4691,                0.69676,                 1.0561,                0.85482,                0.75472,                0.83968,                0.39223,                 1.7153,                0.80163,                 1.0616,               0.009637,               0.009637,               0.009637
                     13,                 1.4852,                0.69703,                 1.0636,                0.77285,                0.83462,                0.74248,                0.30527,                 1.8945,                0.81945,                 1.0932,               0.009604,               0.009604,               0.009604
                     14,                 1.4529,                0.68576,                 1.0558,                0.83567,                0.84906,                0.89131,                 0.4401,                  1.668,                0.73827,                 1.0268,               0.009571,               0.009571,               0.009571
                     15,                 1.4793,                0.71055,                 1.0609,                0.81775,                0.84666,                0.78708,                0.33704,                 1.8307,                0.74944,                 1.0703,               0.009538,               0.009538,               0.009538
                     16,                 1.4772,                0.69041,                 1.0661,                0.74366,                0.88679,                0.84275,                0.36547,                 1.8482,                 0.7646,                 1.0858,               0.009505,               0.009505,               0.009505
                     17,                 1.4786,                0.68923,                 1.0682,                0.83404,                0.77358,                0.81404,                0.39534,                 1.7584,                0.76818,                 1.0605,               0.009472,               0.009472,               0.009472
                     18,                 1.4472,                0.68715,                 1.0555,                0.67037,                0.80586,                0.71022,                 0.2894,                 1.9043,                 0.8533,                 1.0971,               0.009439,               0.009439,               0.009439
                     19,                 1.4521,                0.68758,                 1.0518,                0.74672,                0.79245,                0.74794,                0.31799,                 1.9027,                0.87233,                  1.095,               0.009406,               0.009406,               0.009406
                     20,                 1.4731,                0.68873,                 1.0671,                0.75863,                0.79245,                 0.7587,                0.33406,                 1.7952,                0.80759,                 1.0719,               0.009373,               0.009373,               0.009373
                     21,                 1.4581,                0.67916,                 1.0518,                0.84066,                0.73585,                 0.8434,                0.35336,                 1.8464,                0.79807,                 1.0884,                0.00934,                0.00934,                0.00934
                     22,                 1.4461,                0.68273,                 1.0584,                0.85963,                0.77358,                0.86002,                0.39952,                 1.7948,                0.77485,                  1.073,               0.009307,               0.009307,               0.009307
                     23,                 1.4319,                0.67265,                  1.049,                0.82239,                0.78634,                0.84165,                0.38796,                 1.7161,                0.76247,                 1.0487,               0.009274,               0.009274,               0.009274
                     24,                 1.4601,                0.67463,                 1.0534,                0.80149,                0.81132,                0.85255,                 0.4061,                  1.728,                0.74567,                 1.0488,               0.009241,               0.009241,               0.009241
                     25,                 1.4469,                0.66984,                 1.0502,                0.71193,                0.86792,                0.78282,                0.36467,                 1.7808,                0.78492,                 1.0703,               0.009208,               0.009208,               0.009208
                     26,                 1.4388,                0.67261,                 1.0588,                0.74669,                0.86792,                0.83874,                0.36291,                 1.7827,                0.77533,                 1.0582,               0.009175,               0.009175,               0.009175
                     27,                 1.4656,                0.67133,                 1.0634,                 0.7524,                0.86009,                0.85266,                0.39754,                 1.7947,                0.76605,                 1.0739,               0.009142,               0.009142,               0.009142
